,ISO3,Meses_x,YEAR_x,Unidad_x,Var_Temperatura,Simbolo_x,Latitud,Longitud
332,DEU,Enero,2020,°C,4.364,Fc,51.8671,12.6484
333,DEU,Enero,2020,°C,4.364,Fc,49.5561,8.6697
334,DEU,Enero,2020,°C,4.364,Fc,51.2239,6.9147
335,DEU,Enero,2020,°C,4.364,Fc,50.0256,8.8841
336,DEU,Enero,2020,°C,4.364,Fc,48.2119,9.0239
337,DEU,Enero,2020,°C,4.364,Fc,50.8333,6.9
338,DEU,Enero,2020,°C,4.364,Fc,49.1333,8.6
339,DEU,Enero,2020,°C,4.364,Fc,47.88,10.6225
340,DEU,Enero,2020,°C,4.364,Fc,52.5583,13.0917
341,DEU,Enero,2020,°C,4.364,Fc,52.7544,13.2369
342,DEU,Enero,2020,°C,4.364,Fc,51.2278,6.6273
343,DEU,Enero,2020,°C,4.364,Fc,48.9667,9.1333
344,DEU,Enero,2020,°C,4.364,Fc,47.9878,10.1811
345,DEU,Enero,2020,°C,4.364,Fc,52.5055,9.4636
346,DEU,Enero,2020,°C,4.364,Fc,52.3725,9.9769
347,DEU,Enero,2020,°C,4.364,Fc,51.5917,7.6653
348,DEU,Enero,2020,°C,4.364,Fc,51.08,6.3156
349,DEU,Enero,2020,°C,4.364,Fc,53.8925,11.465
350,DEU,Enero,2020,°C,4.364,Fc,48.1333,11.3667
351,DEU,Enero,2020,°C,4.364,Fc,50.8014,7.2044
352,DEU,Enero,2020,°C,4.364,Fc,51.3167,6.2833
353,DEU,Enero,2020,°C,4.364,Fc,52.4886,10.5464
354,DEU,Enero,2020,°C,4.364,Fc,50.0189,8.6961
355,DEU,Enero,2020,°C,4.364,Fc,51.8439,6.8583
356,DEU,Enero,2020,°C,4.364,Fc,49.4444,11.8483
357,DEU,Enero,2020,°C,4.364,Fc,50.9747,10.3244
358,DEU,Enero,2020,°C,4.364,Fc,52.3077,9.8133
359,DEU,Enero,2020,°C,4.364,Fc,51.0631,6.0964
360,DEU,Enero,2020,°C,4.364,Fc,49.3167,7.3333
361,DEU,Enero,2020,°C,4.364,Fc,49.3,10.5833
362,DEU,Enero,2020,°C,4.364,Fc,53.4714,7.4836
363,DEU,Enero,2020,°C,4.364,Fc,51.505,10.7911
364,DEU,Enero,2020,°C,4.364,Fc,50.2585,10.9579
365,DEU,Enero,2020,°C,4.364,Fc,48.6267,9.3353
366,DEU,Enero,2020,°C,4.364,Fc,52.4238,9.4359
367,DEU,Enero,2020,°C,4.364,Fc,53.3833,10.0333
368,DEU,Enero,2020,°C,4.364,Fc,49.3292,11.0208
369,DEU,Enero,2020,°C,4.364,Fc,50.6833,7.1833
370,DEU,Enero,2020,°C,4.364,Fc,50.9119,13.3428
371,DEU,Enero,2020,°C,4.364,Fc,48.6483,9.4511
372,DEU,Enero,2020,°C,4.364,Fc,48.6928,9.1428
373,DEU,Enero,2020,°C,4.364,Fc,49.6811,8.6228
374,DEU,Enero,2020,°C,4.364,Fc,52.0277,8.9043
375,DEU,Enero,2020,°C,4.364,Fc,52.8331,13.8331
376,DEU,Enero,2020,°C,4.364,Fc,49.2,7.6
377,DEU,Enero,2020,°C,4.364,Fc,48.7228,9.2631
378,DEU,Enero,2020,°C,4.364,Fc,49.1122,9.7375
379,DEU,Enero,2020,°C,4.364,Fc,51.2,11.9667
380,DEU,Enero,2020,°C,4.364,Fc,53.4769,9.7011
381,DEU,Enero,2020,°C,4.364,Fc,51.0608,6.2197
382,DEU,Enero,2020,°C,4.364,Fc,51.8958,11.0467
383,DEU,Enero,2020,°C,4.364,Fc,50.15,8.8333
384,DEU,Enero,2020,°C,4.364,Fc,49.2833,11.4667
385,DEU,Enero,2020,°C,4.364,Fc,50.0876,8.4447
386,DEU,Enero,2020,°C,4.364,Fc,51.0167,13.65
387,DEU,Enero,2020,°C,4.364,Fc,52.2,8.7
388,DEU,Enero,2020,°C,4.364,Fc,48.8,9.5333
389,DEU,Enero,2020,°C,4.364,Fc,48.9333,8.4
390,DEU,Enero,2020,°C,4.364,Fc,49.25,6.8333
391,DEU,Enero,2020,°C,4.364,Fc,50.8247,6.1275
392,DEU,Enero,2020,°C,4.364,Fc,53.3285,9.8621
393,DEU,Enero,2020,°C,4.364,Fc,51.25,6.9667
394,DEU,Enero,2020,°C,4.364,Fc,52.6,11.85
395,DEU,Enero,2020,°C,4.364,Fc,52.0794,7.0134
396,DEU,Enero,2020,°C,4.364,Fc,50.8167,7.0333
397,DEU,Enero,2020,°C,4.364,Fc,50.6872,10.9142
398,DEU,Enero,2020,°C,4.364,Fc,50.0558,8.6971
399,DEU,Enero,2020,°C,4.364,Fc,49.9893,8.6803
400,DEU,Enero,2020,°C,4.364,Fc,50.9622,13.9403
401,DEU,Enero,2020,°C,4.364,Fc,51.6167,12.3167
402,DEU,Enero,2020,°C,4.364,Fc,51.1814,14.4239
403,DEU,Enero,2020,°C,4.364,Fc,48.1778,11.2556
404,DEU,Enero,2020,°C,4.364,Fc,48.9464,9.4306
405,DEU,Enero,2020,°C,4.364,Fc,51.5,6.5333
